Unnamed: 0,song_id,acousticness,valence,danceability,energy,key_arr,instrumentalness,liveness,track image,artist image,loudness,speechiness,tempo,duration,h_s
0,spotify:track:4Ta3PhWmY50ZLU1uhKFKPE,0.247,0.258,0.614,0.684,0,0,0.0976,https://i.scdn.co/image/ab67616d0000b273c9fec49c8930fb10e4756dfe,https://i.scdn.co/image/ab6761610000e5eb6e295a69e6e93b9c4ce415b4,-5.79,0.157,156.85,245700,h
1,spotify:track:3JeT6Xcv6MlEHHylk8SKQ1,0.68,0.427,0.558,0.47,7,0.914,0.532,https://i.scdn.co/image/ab67616d0000b2730041c0e94bc40e081cec1fb7,https://i.scdn.co/image/ab6761610000e5eb266d9c56322c4bd6453f893d,-5.5,0.0316,118.06,238640,h
2,spotify:track:3qhobDAfBcVoOWZP8Ck8R2,0.613,0.566,0.664,0.573,5,0.000363,0.0857,https://i.scdn.co/image/ab67616d0000b27302a483a1ff3fe111a9df1eb1,https://i.scdn.co/image/ab6761610000e5ebc79f78fd72a3e5faf699a8be,-6.519,0.0277,76.023,160097,h
3,spotify:track:0GO8y8jQk1PkHzS31d699N,0.00847,0.371,0.56,0.936,3,0,0.161,https://i.scdn.co/image/ab67616d0000b273d84a9bbcba91cb6a4a212b1b,https://i.scdn.co/image/ab6761610000e5eb515b012eec849c8c5b844121,-5.835,0.0439,112.96,218013,h
4,spotify:track:7eI7Y41wcPfqzAxqv1jogS,0.765,0.225,0.441,0.283,2,0.0348,0.076,https://i.scdn.co/image/ab67616d0000b27346882ed618caaecba0b1e6d8,https://i.scdn.co/image/ab6761610000e5ebe782667d62616717a08408f1,-9.092,0.0304,79.664,275628,h
5,spotify:track:0CZ8lquoTX2Dkg7Ak2inwA,0.648,0.269,0.6,0.535,4,4.70E-06,0.162,https://i.scdn.co/image/ab67616d0000b273580625d3d07c5b16238c2e69,https://i.scdn.co/image/ab6761610000e5ebdced725bdaf4014fdf5c3238,-7.043,0.107,71.912,225133,h
6,spotify:track:518miTxc3a15X7HB8FgJUW,0.554,0.656,0.569,0.536,1,0,0.0655,https://i.scdn.co/image/ab67616d0000b2738e328008ca97beb55998b0b5,https://i.scdn.co/image/ab6761610000e5eb0b16721b7e03c4d898594e0c,-6.137,0.0819,173.695,209833,h
7,spotify:track:2iRniYXjMHKmwXqA2jYXP7,0.0311,0.612,0.871,0.341,3,0.000124,0.0838,https://i.scdn.co/image/ab67616d0000b273a5c51e96d2583bfb3e45d504,https://i.scdn.co/image/ab6761610000e5ebee2d37dfa0a387031555e4ce,-8.932,0.0576,127.001,173386,h
8,spotify:track:1tNJrcVe6gwLEiZCtprs1u,0.223,0.877,0.815,0.518,7,0,0.104,https://i.scdn.co/image/ab67616d0000b2734a42166d927b3acce345c5c0,https://i.scdn.co/image/ab6761610000e5eb436d45fb9b11ad089e0e3c11,-6.594,0.0897,151.891,177667,h
9,spotify:track:4ja2gzrNh9VNigzoXfmbwD,0.617,0.421,0.676,0.525,9,0,0.356,https://i.scdn.co/image/ab67616d0000b273180bec60ad04205a903e4441,https://i.scdn.co/image/ab6761610000e5eb9b2cf7e5f50833c1b5524bb1,-5.88,0.028,112.011,210000,h
10,spotify:track:1etiUDkISHELzQGMY79ryt,0.275,0.458,0.504,0.821,8,0,0.0418,https://i.scdn.co/image/ab67616d0000b273137d133f1c79c4965eace78c,https://i.scdn.co/image/ab6761610000e5ebfb7a0fe5a0e33cf5325fcd91,-3.356,0.0598,155.131,201799,h
11,spotify:track:1e9oZCCiX42nJl0AcqriVo,0.122,0.557,0.548,0.816,0,0,0.335,https://i.scdn.co/image/ab67616d0000b2737cf2b9825bb43083d123ac22,https://i.scdn.co/image/ab6761610000e5ebd9f70439ec8893ef495e1b7e,-4.209,0.0465,95.39,174000,h
12,spotify:track:2Yer0p7uB2lVBUAtANuuQp,0.66,0.803,0.769,0.479,1,0,0.0914,https://i.scdn.co/image/ab67616d0000b273013314e9861a2c4a796b2176,https://i.scdn.co/image/ab6761610000e5ebea3999db56c4bec6269c7d3b,-5.339,0.0385,96.051,164640,h
13,spotify:track:01k24g94i1JvkFLQmVEdCd,0.0615,0.618,0.647,0.853,8,0,0.062,https://i.scdn.co/image/ab67616d0000b273bdee2903ac46df0b47cd0086,https://i.scdn.co/image/ab6761610000e5eb5a00879e258b7c4e76816e52,-4.516,0.0904,103.846,189000,h
14,spotify:track:43rA71bccXFGD4C8GOpIlN,0.298,0.541,0.664,0.316,5,2.03E-06,0.0812,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,https://i.scdn.co/image/ab6761610000e5eb9e3acf1eaf3b8846e836f441,-10.345,0.519,92.875,170640,h
15,spotify:track:2tOOcDDYkh0PSjr6GwPEAJ,0.0828,0.771,0.732,0.856,11,0,0.323,https://i.scdn.co/image/ab67616d0000b273038e01a9fbf375dcccea5a3c,https://i.scdn.co/image/ab6761610000e5eb6e55433fc0856afe2a693d76,-2.2,0.0929,145.034,177670,h
16,spotify:track:02Ygu8lo3qSknRpcBnspso,0.156,0.794,0.793,0.714,7,0,0.136,https://i.scdn.co/image/ab67616d0000b273f710590a70d31d9ec8effd11,https://i.scdn.co/image/ab6761610000e5eba0c36ecbaec3e037e712a8d2,-7.562,0.193,100.036,168947,h
17,spotify:track:7Feaw9WAEREY0DUOSXJLOM,0.179,0.316,0.661,0.723,5,1.23E-05,0.14,https://i.scdn.co/image/ab67616d0000b273d7658a5bf66a2f3f11878bdf,https://i.scdn.co/image/ab6761610000e5eb66d17ee8690d2e8d94ee7387,-6.976,0.0566,113.778,163805,h
18,spotify:track:0sf12qNH5qcw8qpgymFOqD,0.00147,0.345,0.513,0.796,1,0.000209,0.0938,https://i.scdn.co/image/ab67616d0000b273c464fabb4e51b72d657f779a,https://i.scdn.co/image/ab6761610000e5eb2f71b65ef483ed75a8b40437,-4.075,0.0629,171.017,201573,h
19,spotify:track:3gicyfiEVMGONgzygpWjNT,0.331,0.503,0.598,0.904,4,0,0.264,https://i.scdn.co/image/ab67616d0000b273d067ef1dace65ff02d69c47a,https://i.scdn.co/image/ab6761610000e5ebfd68725168b533c320eea5a0,-2.293,0.0507,138.091,198075,h
20,spotify:track:5Gj1wG8b12VQdEd3hUuSwo,0.127,0.39,0.715,0.635,7,0,0.0862,https://i.scdn.co/image/ab67616d0000b273bd5fd1da3f5f0272e71400a3,https://i.scdn.co/image/ab6761610000e5eb6567299e3c53cf2a250fbdce,-6.591,0.0791,112.887,198635,h
21,spotify:track:6VrLYoQKdhu1Jruei06t65,0.0587,0.896,0.526,0.818,3,0,0.333,https://i.scdn.co/image/ab67616d0000b2739f89b8390933e9ccb3673c89,https://i.scdn.co/image/ab6761610000e5eb77ef80571a40d9d19cf52208,-5.952,0.0358,171.96,185098,h
