song ID,song name,song popularity,artist name,artist id,artist genres,album name,album id,album release date,track image,artist image
spotify:track:4908mwb34dqgcaxHeFjitw,Trust In You,1,Lauren Daigle,40LHVA5BTQp9RxHOQ9JPYj,"ccm, christian music, worship",How Can It Be,4pgbf6PoUwBlPQDBcATNq0,4/14/2015,https://i.scdn.co/image/ab67616d0000b2732f9c8795565ee6c3c3285de7,https://i.scdn.co/image/ab6761610000e5eb3f153e668b6ef3534b937673
spotify:track:7nzmXUrZwSOJPNmV0mOmEn,Good Grace - Live,56,Hillsong UNITED,74cb3MG0x0BOnYNW1uXYnM,"ccm, christian alternative rock, christian music, world worship, worship",People (Live),5tLfBSUv5KGNNOqbyKo1rD,4/26/2019,https://i.scdn.co/image/ab67616d0000b2731221e22e7e8f94569b52ef9a,https://i.scdn.co/image/ab6761610000e5eb955338e9d0a2662fa21a4a02
spotify:track:6FPLwwpWitg3Tvuy8FGHKT,All My Hope,56,Crowder,39xmI59WrIMyyJjSDq6WCu,"ccm, christian alternative rock, christian music, worship",All My Hope,2Sa4xXwFFbQM02rxdK9vQe,09/08/2017,https://i.scdn.co/image/ab67616d0000b2730841e6c13cf6ad67a885115f,https://i.scdn.co/image/ab6761610000e5ebaecbdf1af0a0e8871b4328aa
spotify:track:4EHWldZTas5KUyFtT0rQlY,"Lord, I Need You",66,Matt Maher,1dPl8axUL09mso0myZqPZW,"anthem worship, canadian ccm, ccm, christian alternative rock, christian music, world worship, worship",All The People Said Amen,2WtZ4nYCFphrLzFcjuxhyu,4/19/2013,https://i.scdn.co/image/ab67616d0000b27386bac647be85db779e113131,https://i.scdn.co/image/ab6761610000e5ebe5aa5a18df52383b5b2a42d0
spotify:track:48LRu8wJeDbUaAlZMg7fBF,I Am Not Alone - Live,61,Kari Jobe,5XlSS9O4eHRiJ0hKzbaFQ2,"anthem worship, ccm, christian alternative rock, christian music, world worship, worship",Majestic (Live),1CMgCsrwDku8Q6bOjNSJJr,01/01/2014,https://i.scdn.co/image/ab67616d0000b273ffcb2f8f448a91dff9497d8f,https://i.scdn.co/image/ab6761610000e5ebb0fd004b9a8c8544101358d3
spotify:track:6JMB2z5tLaBgjt9sCduQYn,Flashdance (What a Feeling) (feat. Irene Cara),35,Ginny Vee,6NpvqNPc5r8VMwMMrxzgfO,,Flashdance (What a Feeling) (feat. Irene Cara),79GUV5W9pjAplb8B3irxGj,9/25/2020,https://i.scdn.co/image/ab67616d0000b27347aaeeb8f0f7b0ff5f2953ac,https://i.scdn.co/image/ab6761610000e5eb642057d942d33669629faede
spotify:track:0ppqeev8d0ZnT6DPKMWEEg,Sogni e Cocktail,15,33,0BabO0YDLq8UIDVCqzxJiR,,Sogni e Cocktail,0WkWrjA07v71YVz22UObC0,08/06/2020,https://i.scdn.co/image/ab67616d0000b273f1bd25c3219d65414c6ca66b,https://i.scdn.co/image/ab6761610000e5ebfe286d99d06a2f0cd969c7d3
spotify:track:377GzWaa7cK5ZCralnCSx3,JEJE LEE,0,Oluwa St. Gabriel,7wRpRMRzo4ObtiMhIieDLL,,JEJE LEE,2wM8XBODe1QlVvmLZEVjaX,09/10/2020,https://i.scdn.co/image/ab67616d0000b273757f04a5d100f06a758154c3,https://i.scdn.co/image/ab6761610000e5eb597f93570dd9f86c862c4160
spotify:track:4zskJEGkssVhIElfBas6Ax,Talk,0,Olabernic,7A7SCaEkEpGApyDUaMeAdx,,Talk,6hL2x6JND52mLj4xBT5BHk,09/01/2020,https://i.scdn.co/image/ab67616d0000b273218a6602a33b74c480528899,https://i.scdn.co/image/ab6761610000e5eb063317a33df08f9c1bd601f8
spotify:track:0rG1ulqGhjappQGrIihpEs,Half a Heart,51,BEAUZ,2Wzb0u138rgoZQTK3ytknT,"pop dance, pop edm",Half a Heart,1itmciWyvnGBQoGXei0NZT,09/01/2020,https://i.scdn.co/image/ab67616d0000b2734b736fe31e46a323664c3d97,https://i.scdn.co/image/ab6761610000e5ebda6b4695ff873d64b18a19e0
