song name,genre,artist name,artist country
Mr Bright Eyes,Pop,Rebecca Ferguson,
Crush,"Pop,Alternative",Tessa Violet,
Happy Not Knowing,Pop,Carly Rae Jepsen,CA
Strawberry Blond,Alternative Folk,Mitski,US
Strawberry Road,Rock,Sam Phillips,US
Forrest Gump,Pop,Frank Ocean,US
Ooo,Alternative,Karen O,US
I Promise You (With Everything I Am),Pop,Backstreet Boys,US
Vindicated,Alternative,Dashboard Confessional,US
Just One of the Guys,Alternative,Jenny Lewis,US
2 Atoms In A Molecule,,Noah And The Whale,
Portions for Foxes,Alternative,Rilo Kiley,US
As I Lay Me Down,"Pop/Rock,Pop",Sophie B. Hawkins,US
Goodnight and Go,"Electronic,Pop,Alternative",Imogen Heap,GB
Some Boys,Alternative,Death Cab for Cutie,US
Call Me Maybe,"Teen Pop,Oldies,Pop,Dance",Carly Rae Jepsen,CA
Somersault,,Zero 7,
Kiss Me,,Sixpence None The Richer,US
Nowhere Near,Alternative,Yo La Tengo,US
On Your Side,Music,Pete Yorn,US
All-American Girl,,Carrie Underwood,
Fool For Love,,Stefy,
"Truly, Truly",Rock,Grant Lee Buffalo,US
Please Forgive Me,"Singer/Songwriter,Pop",David Gray,GB
Red Light Kisses,Alternative,Lake Street Dive,US
Is This How You Feel?,"Alternative,Rock",The Preatures,AU
Untouchable Face,Singer/Songwriter,Ani DiFranco,US
Don't Delete The Kisses,"Music,Alternative",Wolf Alice,GB
Down,Rock,Something Corporate,US
Run Away With Me,"Electronic,Pop,Dance",Carly Rae Jepsen,CA
Que Suba El Momento,"Indie Pop,Pop",Prehistöricos,CL
Gray Or Blue,"Rock,Alternative",Jaymay,
Enchanted,Country,Taylor Swift,US
Is There Somewhere,"Adult Alternative,Alternative",Halsey,
The Luckiest Guy on the Lower East Side,Alternative,The Magnetic Fields,US
You Look so Good,,Clare Bowditch,AU
Hands Down,"Alternative,Rock,EMO",Dashboard Confessional,US
If I Never See Your Face Again,Pop,Maroon 5,
Your Ex-Lover Is Dead,Alternative,Stars,
Take Me Out,Music,Franz Ferdinand,GB
If You Could Only See,"Alternative,Rock,Grunge",Tonic,US
I Try,"Pop,R&B/Soul",Macy Gray,
A Dustland Fairytale,Alternative,The Killers,US
Long Island,Alternative,that dog.,
You're so Great - 2012 Remaster,Rock,Blur,GB
What You Don't Do,Alternative,Lianne La Havas,GB
You Look Like Rain,Rock,Morphine,US
You Are the Ocean,Alternative,Phantogram,US
Want You In My Room,,Carly Rae Jepsen,
Baby Can I Hold You,"Singer/Songwriter,Pop",Tracy Chapman,US
I Guess That's Why They Call It The Blues,"Rock & Roll,Hard Rock,Glam Rock,Arena Rock,Soft Rock,Pop/Rock,Adult Contemporary,Singer/Songwriter,Pop,Rock",Elton John,GB
Lady - 2010 Digital Remaster,,Little River Band,
Worn Me Down,Pop,Rachael Yamagata,US
Vacuum Bag,Rock,Stroke 9,US
As Lovers Go,"Rock,Alternative",Dashboard Confessional,US
Hanging By A Moment,Rock,Lifehouse,US
Summertime,Alternative,My Chemical Romance,US
Tempted,"Rock,Pop",Squeeze,GB
Tears Dry On Their Own,R&B/Soul,Amy Winehouse,GB
Your Body Is a Wonderland,"Soft Rock,Adult Alternative,Pop,Rock",John Mayer,
We Close Our Eyes,"Rock,Alternative",Oingo Boingo,US
Say It Right,Pop,Nelly Furtado,CA
The Special Two,Pop,Missy Higgins,
Baby Don't Go,"Pop,Rock,Music",Sonny & Cher,US
Blue Jeans,"Downtempo,Alternative",Lana Del Rey,US
Satisfied,"Contemporary R&B,Soundtrack",Renée Elise Goldsberry,
Are You High?,,Washington Social Club,US
I Met A Girl,Rock,Wheat,US
Your Type,Pop,Carly Rae Jepsen,CA
Boston,Rock,Augustana,US
Hurricane Drunk,Alternative,Florence + The Machine,GB
#1 Crush,,Garbage,
Genghis Khan,Alternative,Miike Snow,SE
No Ordinary Love,"Music,R&B/Soul",Sade,TR
Love You Madly,Rock,CAKE,US
Red Right Ankle,"Rock,Alternative",The Decemberists,US
My Moon My Man,"Pop,Alternative",Feist,CA
My Moon,"Singer/Songwriter,Children's Music,Alternative Folk",Mary Lambert,US
Friday I'm in Love,"Pop,Alternative,Rock",The Cure,
Marsh King's Daughter,Alternative,Eisley,US
Amateur,"Pop,Rock",Aimee Mann,US
Collide,"Pop/Rock,Soft Rock,Pop,Alternative",Howie Day,US
I Get Along Without You Very Well (Except Sometimes) - Vocal Version,Jazz,Chet Baker,
Screaming Infidelities,"Alternative,Pop",Dashboard Confessional,US
Soundtrack for Our Movie,Alternative,Mae,US
Some Fantastic,"Pop,Rock",Barenaked Ladies,CA
I'll Be,"Pop/Rock,Adult Alternative,American Trad Rock,Pop",Edwin McCain,CA
If You're Not The One,"Soul,Pop",Daniel Bedingfield,
Ava,Alternative,Famy,
You're Somebody Else - Acoustic,"Alternative,Pop,Music",flora cash,SE
Walls,"Britpop,Soft Rock,Pop,Rock",Louis Tomlinson,
exile (feat. Bon Iver),Music,Taylor Swift,
Too Young,,Louis Tomlinson,
the last great american dynasty,Music,Taylor Swift,US
Don't Let It Break Your Heart - Single Edit,,Louis Tomlinson,
Beautiful War,Alternative,Kings of Leon,US
Fool's Gold,"Pop,Dance,Pop/Rock,Music",One Direction,
"Sex, Death and Landscapes",Singer/Songwriter,Tom Rosenthal,
Through the Dark,"Teen Pop,Pop",One Direction,
Good Years,Pop,ZAYN,
Sweet Connection,,Jessica Ricca,
Northern Italy,Easy Listening,Margaux Beylier,
Mess Is Mine,"Alternative Folk,Indie Pop,Alternative",Vance Joy,AU
Something Great,"Teen Pop,Pop",One Direction,
Flames (with ZAYN),,R3HAB,
Over Again,Pop,One Direction,
Infinity,"Pop,Rock",One Direction,
Winnipeg,Singer/Songwriter,Easton Kerr,
Chastain,"Music,Alternative",Del Water Gap,
Broadripple Is Burning,"Indie Rock,Alternative",Margot & The Nuclear So And So's,US
Diana,"Pop/Rock,Pop",One Direction,
a little bit,K-Pop,MAMAMOO,KR
Eyes,K-Pop,Apink,KR
When it rains,"K-Pop,J-Pop",BTOB-BLUE,
Like a flowing wind,"K-Pop,Rock",DAY6,
아픈 길 hurt road,,DAY6,
그럴 텐데 I Would,,DAY6,
겨울이 간다 Goodbye winter,,DAY6,
원하니까 Still,K-Pop,DAY6,
Colors,"K-Pop,Rock",DAY6,
놓아 놓아 놓아 Letting Go,"Asia,K-Pop",DAY6,
Me After You,K-Pop,Paul Kim,
To My Youth,"K-Pop,Rock",BOL4,
봄날의 소나기 Paper Umbrella,K-Pop,YESUNG,
SOMEDAY,,BTOB,KR
So do you,K-Pop,SEO EUNKWANG,
Way Back Home,K-Pop,BTOB,KR
Will Be Here,,SEO EUNKWANG,
Climax,K-Pop,BTOB,KR
Beautiful Pain,K-Pop,BTOB,KR
Gone,K-Pop,LEE CHANGSUB,
Miss you,K-Pop,LEE CHANGSUB,
Say You Love Me,Soundtrack,Lim Hyunsik,
"Sorry (Song by SEO EUNKWANG, LEE MINHYUK, LEE CHANGSUB)",K-Pop,BTOB,KR
Nothing i can do,K-Pop,PENTAGON,
I Don't Love You,,Urban Zakapa,KR
사랑이,,ASTRO,
비처럼 가지 마요 One More Chance,"K-Pop,Pop",SUPER JUNIOR,KR
I'm not over you,K-Pop,RYEOWOOK,
The Truth Untold,,BTS,
I.L.Y.,Rock,The Rose,
Like We Used To,Rock,The Rose,
Insomnia,Rock,The Rose,
BREATHE,,LeeHi,
Only One,Rock,Yellowcard,US
Zombie - English Ver.,Rock,DAY6,
Afraid,Rock,DAY6,
Zombie,Rock,DAY6,
Tick Tock,Rock,DAY6,
Miracle,"K-Pop,Pop",GOT7,
Behind the page,,Kwon Jin Ah,
Love Resembles Memories,,YOOK SUNGJAE,
Dear My Dear,,SEO EUNKWANG,
sorry,"K-Pop,Rock",The Rose,
She's In The Rain,Rock,The Rose,
First Love,J-Pop,Hikaru Utada,JP
Someday,,Nina,
Samson,Alternative,Regina Spektor,US
No One Knows,,SEO EUNKWANG,
광화문에서 (At Gwanghwamun),,KYUHYUN,
어린왕자 The Little Prince,K-Pop,RYEOWOOK,
밀리언조각 A Million Pieces,K-Pop,KYUHYUN,
Lonely,,JONGHYUN,
다시 만나는 날 Goodbye for now,K-Pop,KYUHYUN,
One Day,K-Pop,SEO EUNKWANG,
그냥 보고 싶어 그래 Because I Miss You,K-Pop,KYUHYUN,
Back In The Day,Pop,SEO EUNKWANG,
I Miss You,K-Pop,SOYOU,
This Love,K-Pop,DAVICHI,
Hug Me,,JOONIL JUNG,
Till… (Ballad Unit),K-Pop,PENTAGON,
Confession (Prod. by Park Keuntae),,YOOK SUNGJAE,
So long,,Paul Kim,
Tell me about your day,"K-Pop,R&B/Soul",Kwon Jin Ah,
풋사랑,,ASTRO,
At The End,K-Pop,LEE CHANGSUB,
I Will Go To You Like the First Snow,"K-Pop,K-Pop",AILEE,KR
TELL ME,K-Pop,YOOK SUNGJAE,
Stand by me,K-Pop,BTOB-BLUE,
The End,Pop,Kwon Jin Ah,
Wanna Be Her,,Kwon Jin Ah,
Late farewell,R&B/Soul,Kwon Jin Ah,
Something's Wrong,Pop,Kwon Jin Ah,
Hold Me,R&B/Soul,Eric Nam,
When It Rains In Night,K-Pop,PENTAGON,
ALWAYS,,Yoon Mirae,
Here I Am Again,K-Pop,Yerin Baek,
You Are My Everything,,Gummy,KR
Forgetting You,K-Pop,DAVICHI,
Good bye,K-Pop,Whee In,
Shadow,K-Pop,Whee In,
In The Fall,,Hwa Sa,
"How can I love the heartbreak, you`re the one I love",Rock,AKMU,KR
Hello Mama,Dance,MAMAMOO,KR
The Wave,,Apink,KR
Wild Flower,K-Pop,Park Hyo Shin,KR
From Winter,Pop,YOOK SUNGJAE,
Beautiful goodbye,K-Pop,CHEN,
Love poem,Rock,IU,
Only Then,"K-Pop,Pop",Roy Kim,
Can You See My Heart,"Soundtrack,K-Pop,TV Soundtrack",HEIZE,
Autumn Letter,"Pop,R&B/Soul",Solar,
Introduce me a good person,K-Pop,JOY,
My Love,K-Pop,Gummy,
Rain,K-Pop,SOYOU,
When We Were Us,Pop,SUPER JUNIOR-K.R.Y.,
"Time, like a shining star",K-Pop,JAMIE,
Bye bye my blue,K-Pop,Yerin Baek,
"Someday, The Boy",,Kim Feel,
For You,,CHEN,
Furnace Of Hate,"Heavy Metal,Rock",Thy Art Is Murder,AU
Graves of the Fathers,Rock,Cryptopsy,CA
Pitchblack,"Death Metal/Black Metal,Rock",Walking Dead On Broadway,
Unholy Gravebirth,Heavy Metal,Infant Annihilator,GB
Still They Pray,Heavy Metal,Aeon,SE
The Glowing Hate,Heavy Metal,Aeon,SE
I Wish You Death,Heavy Metal,Aeon,SE
Garden of Sin,Heavy Metal,Aeon,SE
Nothing Left to Destroy,Heavy Metal,Aeon,SE
Aeons Black,,Aeon,
I Hate Your Existence,"Heavy Metal,Rock",Aeon,SE
Kill Them All,Heavy Metal,Aeon,SE
Spearheaderon,Heavy Metal,Altarage,
Devicet,Death Metal/Black Metal,Altarage,
Graehence,Death Metal/Black Metal,Altarage,
Baptism Nihl,Death Metal/Black Metal,Altarage,
Forward!,Heavy Metal,Anaal Nathrakh,GB
Prometherion,"Heavy Metal,Death Metal/Black Metal,Rock",Behemoth,PL
At the Left Hand Ov God,"Heavy Metal,Rock",Behemoth,
Ov Fire And The Void,,Behemoth,
Lucifer,Rock,Behemoth,PL
Chant For Ezkaton 2000 e.v.,Rock,Behemoth,PL
Ecclesia Diabolica Catholica,"Heavy Metal,Death Metal/Black Metal",Behemoth,PL
Angelvs XIII,"Death Metal/Black Metal,Heavy Metal",Behemoth,PL
Sabbath Mater,"Death Metal/Black Metal,Heavy Metal",Behemoth,PL
Messe Noire,Heavy Metal,Behemoth,PL
Ora Pro Nobis Lucifer,Heavy Metal,Behemoth,PL
Ben Sahar,Heavy Metal,Behemoth,PL
O Father O Satan O Sun!,Heavy Metal,Behemoth,PL
Pan Satyros,Rock,Behemoth,PL
As Above So Below,"Heavy Metal,Rock",Behemoth,PL
Conjuring the Dead,Death Metal/Black Metal,Belphegor,AT
Baphomet,Death Metal/Black Metal,Belphegor,AT
The Devil's Son,Death Metal/Black Metal,Belphegor,AT
Totenkult - Exegesis Of Deterioration,Death Metal/Black Metal,Belphegor,AT
The Eternal Return to Ruin,Heavy Metal,Black Tongue,GB
Cancer of the Soul,"Heavy Metal,Rock",Bloodbath,CN
Eaten,"Heavy Metal,Rock",Bloodbath,CN
So You Die,"Heavy Metal,Rock",Bloodbath,CN
Evisceration Plague,,Cannibal Corpse,
Only One Will Die,Heavy Metal,Cannibal Corpse,US
Code of the Slashers,Heavy Metal,Cannibal Corpse,US
Kill or Become,Heavy Metal,Cannibal Corpse,US
Hammer Smashed Face,"Death Metal/Black Metal,Rock",Cannibal Corpse,US
I Cum Blood,"Death Metal/Black Metal,Rock",Cannibal Corpse,US
Corporal Jigsore Quandary,Rock,Carcass,GB
Keep On Rotting in the Free World,Rock,Carcass,GB
Forced Gender Reassignment,Heavy Metal,Cattle Decapitation,US
World Without God,"Death Metal/Black Metal,Rock",Convulse,FI
Two-Pound Torch,"Heavy Metal,Rock",Cryptopsy,CA
Shag Harbour’s Visitors,"Heavy Metal,Rock",Cryptopsy,CA
The Golden Square Mile,"Heavy Metal,Rock",Cryptopsy,CA
Ominous,"Heavy Metal,Rock",Cryptopsy,CA
Crown of Horns,"Heavy Metal,Rock",Cryptopsy,CA
Slit Your Guts,"Heavy Metal,Rock",Cryptopsy,CA
Benedictine Convulsions,Rock,Cryptopsy,CA
Phobophile,"Heavy Metal,Rock",Cryptopsy,CA
Lichmistress,Rock,Cryptopsy,CA
Orgiastic Disembowelment,Rock,Cryptopsy,CA
Dead and Dripping,Rock,Cryptopsy,CA
Abysm Nucleus,Heavy Metal,Cytotoxin,DE
Lack of Comprehension,Rock,Death,US
The Philosopher,Rock,Death,US
Scavenger of Human Sorrow,"Alternative,Rock",Death,US
Spirit Crusher,"Alternative,Rock",Death,US
Flesh and the Power It Holds,"Alternative,Rock",Death,US
Symbolic,Rock,Death,US
Crystal Mountain,Rock,Death,US
Kill the Cult,"Death Metal/Black Metal,Rock",Decapitated,PL
One-Eyed Nation,Heavy Metal,Decapitated,PL
Earth Scar,Heavy Metal,Decapitated,PL
Blood Mantra,Heavy Metal,Decapitated,PL
Nest,Heavy Metal,Decapitated,PL
Blindness,Heavy Metal,Decapitated,PL
Moth Defect - Bonus Track,"Heavy Metal,Death Metal/Black Metal",Decapitated,PL
Instinct,Heavy Metal,Decapitated,PL
Day 69,Rock,Decapitated,
Desecration,Rock,Deicide,US
Horror in the Halls of Stone,"Heavy Metal,Rock",Deicide,US
Sacrificial Suicide,Rock,Deicide,US
In the Minds of Evil,Heavy Metal,Deicide,US
Beyond Salvation,Heavy Metal,Deicide,US
Worry in the House of Thieves,Rock,Deicide,US
Lurking Among Us,Rock,Deicide,US
Dead but Dreaming,Rock,Deicide,US
Once Upon the Cross,Rock,Deicide,US
When Satan Rules His World,Rock,Deicide,US
Kill the Christian,Rock,Deicide,US
To Be Dead,Rock,Deicide,US
The Stench Of Redemption,Rock,Deicide,US
An Edifice of Archbestial Impurity,Heavy Metal,Disentomb,AU
Vultures Descend,Heavy Metal,Disentomb,AU
Grotesque Impalement,Heavy Metal,Dying Fetus,US
Killing On Adrenaline,Heavy Metal,Dying Fetus,US
Raped On The Altar,Heavy Metal,Dying Fetus,US
Nocturnal Crucifixion,Heavy Metal,Dying Fetus,US
Boys Like You,Electronic,Tanerélle,
About Her,Electronic,Phazz,
Mind Is A Prison,Music,Alec Benjamin,
Twisted Games,,David Lawrence,
Rise,"Hard Rock,Rock",American Arson,
&,,American Arson,
Fall,Hard Rock,American Arson,
Fault Lines,Hard Rock,Comrades,
Rest,Hard Rock,Comrades,
Smokescreen Season,Hard Rock,Comrades,
Cliff Dwelling,Hard Rock,Comrades,
No Past,Hard Rock,Comrades,
Hollow Point,,Comrades,
Reflection,Hard Rock,Comrades,
This Ends with Me,Hard Rock,Comrades,
Half-Light,Hard Rock,Comrades,
Nightingale,Hard Rock,Comrades,
Spite,Rock,Deathbreaker,
Even,Music,Dens,
Foolish,,Dens,
Men,Music,Dens,
Are,,Dens,
Wise,Music,Dens,
When,Music,Dens,
They,Music,Dens,
Learn,Music,Dens,
To,Music,Dens,
Keep,Music,Dens,
Quiet,Music,Dens,
Bloody Angles,Rock,My Epic,
White Noises,,My Epic,
Spit and Blood,,My Epic,
Black Light,,My Epic,
Spit It Out,Rock,My Epic,
Tsuneni,Rock,My Epic,
Bad Accent,Rock,My Epic,
Heavy Fruit,,Northlander,
Wild & Sweet,,Northlander,
Oculus,,Northlander,
Cliffs,Music,Northlander,
I Come Alive,Music,Northlander,
Rolling Thunder,,Northlander,
Praying Drunk,Music,Northlander,
Onyx Dust,,Northlander,
Air,Music,Northlander,
Cult Leader,,Northlander,
Saint Sorrow,Music,Northlander,
Solaris,,Northlander,
Little Bell,Music,Northlander,
The Sun Came Dancing on the Rain,,Northlander,
Choose Your Side,,Nothing Left,
Dust into Dust,,Nothing Left,
Beneath the Surface,,Nothing Left,
Deceiver or Deceived,,Nothing Left,
Death from Above,,Nothing Left,
Into the Emptiness,,Nothing Left,
Disconnected,,Nothing Left,
Cycle of Abuse,,Nothing Left,
A Final Farewell,,Nothing Left,
The Watchers,Heavy Metal,War Of Ages,US
Void,Heavy Metal,War Of Ages,US
Blood of the Earth,Heavy Metal,War Of Ages,US
Miles Apart,Heavy Metal,War Of Ages,US
Sulphur and Salt,Heavy Metal,War Of Ages,US
Greed,Heavy Metal,War Of Ages,US
Envy,Heavy Metal,War Of Ages,US
Wrath,Heavy Metal,War Of Ages,US
Jezebel,Heavy Metal,War Of Ages,US
Brotherhood,Heavy Metal,War Of Ages,US
The Return,Heavy Metal,War Of Ages,US
Burn,Rock,Weathered,
Lion's Den,Rock,Weathered,
Stranger Here,Rock,Weathered,
There is One,Rock,Weathered,
The Secret Places of My Memory,Rock,Weathered,
Blue Van,Rock,Weathered,
Forget About Me,Rock,Weathered,
Lying in Wait,Rock,Weathered,
Self-Deceiving Savior,Rock,Weathered,
I Do Not Belong Here,Rock,Weathered,
In Falling,Rock,What We Do In Secret,
918,Rock,What We Do In Secret,
Rebirth,Rock,What We Do In Secret,
Blackout,Rock,What We Do In Secret,
Shine: Lost,Rock,What We Do In Secret,
(Remain),Rock,What We Do In Secret,
Repose,,What We Do In Secret,
Home,Rock,What We Do In Secret,
Silhouette,Rock,What We Do In Secret,
Vindication,Rock,What We Do In Secret,
Coma,Hard Rock,Everything In Slow Motion,
Bad Season,Hard Rock,Everything In Slow Motion,
I Am Laid Low,Hard Rock,Everything In Slow Motion,
Runaway,Hard Rock,Everything In Slow Motion,
Capella,Hard Rock,Everything In Slow Motion,
Hallelujah,R&B/Soul,Alicia Keys,US
Stay - Before the Picture Fades,"Alternative,Pop",Talisco,FR
Toi,"R&B/Soul,French Pop,Hip Hop/Rap",Monsieur Nov,FR
Love in This Club (feat. Young Jeezy),Contemporary R&B,Usher,
Dead Man's Arms,Alternative,Bishop Briggs,
Games Continued (feat. Marie Plassard) - Radio Edit,,Bakermat,
Panda Pon,Latin Urban,Topo La Maskara,
Hot In Herre,"Rap,Hip Hop/Rap",Nelly,
Ghost in the Machine,Hip Hop/Rap,B.o.B,
