song name,genre,artist name,artist country
Late in the Evening,Pop,Paul Simon,
I Want You Back,R&B/Soul,The Jackson 5,US
How Bizarre,Pop,OMC,NZ
Don't Stop Me Now - Remastered 2011,Rock,Queen,
Kiss On My List,,Daryl Hall & John Oates,US
Amigo,Pop,Chef'Special,
Dancing Queen,"Pop/Rock,Disco,Europe,Pop,Dance",ABBA,SE
Roses,"Contemporary R&B,Soul,Hip Hop/Rap",Outkast,US
Suds & Soda,"Pop,Alternative,Rock",dEUS,BE
Mr. Jones,Rock,Counting Crows,US
Children - Radio Edit,,A.I.R. Miles,
Bella Ciao - Pat B 1996 Oldschool Remix,Dance,Joe Rascal,
Your Smile,Pop,Charly Lownoise,NL
Rainbow In The Sky - K & A's Radio Blast,,Paul Elstak,NL
Have You Ever Been Mellow,,Party Animals,NL
I Wanna Be A Hippy,Dance,Technohead,GB
Forever Young - 2001 Radio Edit,,Interactive,DE
Burnin' Love,,Criticall Mass,
Ruffneck Rules Da Artcore Scene,,Juggernaut,NL
Stars,"Dance,Pop",Charly Lownoise,NL
Aquarius,,Party Animals,NL
Can't Help Myself,"Pop,Dance",2 Brothers On The 4th Floor,NL
The Ultimate Seduction,,The Ultimate Seduction,
I'll Be Your Only Friend,,Flamman,
Luv U More,Dance,Paul Elstak,NL
Never Alone - Extended Euro Mix,,Brothers On The 4th Floor,
The Promised Land - Promised Radio Mix,"Dance,Electronic",Paul Elstak,NL
Housenation,Techno,The Ultimate Seduction,
Hava Naquila,,Party Animals,NL
Take Me 2 Wonderland - Radio Edit,,4 Tune Fairy Tales,
Happy Generation,,Critical Mass,
I Need Love,Dance,Flamman,NL
Living Without Your Love,"Techno,Dance",Interactive,DE
Don't Leave Me Alone,Hardcore,Paul Elstak,
Atomic,Dance,Party Animals,NL
Turbo,,Paul Elstak,
Fantasy World,"Dance,Pop",Charly Lownoise,NL
We Like To Party - Radio Mix,,Party Animals,NL
Around The World - Radio Version,,The Nightraver,
Life Is Like A Dance - Extended Radio Mix,,Paul Elstak,NL
Never Alone,"Dance,Pop",2 Brothers On The 4th Floor,NL
U Got 2 Let The Music (Brescia Edit),Dance,Cappella,IT
Baby Baby,"Pop,Dance",Corona,IT
The Rhythm of the Night,"Pop,Dance",Corona,DE
Fly,"Pop,Dance",2 Brothers On The 4th Floor,NL
Come Take My Hand - Extended Version,"Pop,Dance",2 Brothers On The 4th Floor,NL
Faster Harder Scooter (live),Dance,Scooter,US
Hyper Hyper (live),Dance,Scooter,US
Move Your Ass!,Dance,Scooter,US
How Much Is The Fish?,Dance,Scooter,
Don't Leave Me Alone,Hardcore,Paul Elstak,
Rainbow In The Sky - Re-Style & Bass-D Remix,Hardcore,Paul Elstak,
The Promised Land - The Viper Remix,Hardcore,Paul Elstak,
Good to Go,Dance,Flamman & Abraxas,NL
Used & Abused - Amnesia Mix,,Party Animals,NL
Wonderfull Days,,Charly Lownoise & Mental Theo,NL
Hardcore Feelings - Radio Edit,Dance,Charly Lownoise & Mental Theo,NL
Always Hardcore,Dance,Bodylotion,NL
Friends (Original Mix),Electronic,Scooter,US
Thrillseeka - Original mix,,The Stunned Guys,
On The Second Day,Jazz,J√∏rgen Emborg,DK
Four Brothers,Jazz,Art Pepper,US
Wonder Why,,"Lafayette Harris, Jr.",
Crazy Rhythm,Jazz,Benny Carter,US
West Indian Flower,Music,Snorre Kirk,
It's an Upright Thing,Music,Rikard From,
The Call,"Music,Jazz",Jacky Terrasson,FR
On a Clear Day You Can See Forever,Jazz,Filip Ekestubbe Trio,
HaÃàndelse,,F√∂rnuft och K√§nsla,
Feeling,Music,Hegge,
Perhaps,Jazz,Aaron Goldberg,US
Friends,,Brad Mehldau Trio,US
That Old Black Magic,Jazz,Denis Solee,
Just Friends,,Massimo Fara√≤,
Play Ray,Jazz,Lou Donaldson,US
Will You Still Be Mine?,"Music,Jazz",Massimo Farao,
Blues for Barry Harris,,"Lafayette Harris, Jr.",
A Little Evil,Jazz,Seamus Blake,
Keepin' It Real,Music,Bobby Watson,
Take Five,,Tiny Stills Quartet,
Soon,,Eric Rowland,
East of the Sun and West of the Moon,,Ian Leigh Quartet,
Love Is Here To Stay,,CMC 3,
Cantaloupe Island,Music,Tim Donnelly Band,
I'm Glad I Met You,,Gillian Spencer Trio,
S√≥ Dan√ßo Samba,,Jo√£o Gabriel,
My Little Suede Shoes,,The Village Quartet,
Iron Square Serenade,Jazz,Musicmusicmusic,
Hampus & Anna,Jazz,William Soovik Grand Finale,
Hej Kom aÃä HjaÃàlp Mig,Jazz,William Soovik Grand Finale,
Lazy Strut,,Flatland Park,
The Shape of Blue,Music,Gathering in Jazz,
"Sound the Trumpet, Beat the Drum - Welcome Ode for James II (Arr. J. Ekberg, P.V. Johansson and L. Simonsson)",,Trio X of Sweden,
Lovely to Look At - Remastered 2020,Music,Erroll Garner,US
Sidewalking,,Norberg,
It's Only a Paper Moon,,Bruce Simpson Trio,
Konrads Hopp Om Livet,Jazz,Atomic,
Relaxin' with Nick,Latin Jazz,Nicholas Payton,
CRAZY WITCH GAME,Contemporary Jazz,Kresten Osgood,
You Should Feel It Now,Music,No� Huchard,
I'm An Old Cowhand,Music,The Josh Rogers Band,
Star Eyes,,CMC 3,
St. Thomas,,Tiny Stills Quartet,
Way Back Home,"Electronic,Dance,House",SHAUN,
Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,"Electronic,Electronic",SHAUN,
All on Me (feat. Ido),Dance,Bust-R,
Move Like That,,OUTFOX,
On My Mind,Pop,Madeline Rose,
Rude,Music,Kallee Brookes,
Better Than That - Francis Remix,Dance,Man vs Monkey,
Unreal,,The 80s Kid,
Gummy Worm,Alternative,Madeline Rose,
From the Inside,,Z & Z,
Disabled,Trance,Acer Vantes,
Anywhere,Dubstep,Severin,
Strange Love,"Music,R&B/Soul",Will Hecht,
Watermelon Man,Dance,Paulo Kestrel,
Never Gonna Be,Bass,mavzy grx,
Vivid Red,Rock,Chow boò,JP
Waterfalls,,David Loeffel,
Lady Wavy,Hip Hop/Rap,Slim Wavy,
One Love,Electronic,SO CALLED,
Deep In My Heart,,dEVOLVE,
Make Believe - Qi√°o b√π Remix,Electronica,Eress,
You get it but you don't,Music,The 80s Kid,
Keter Meluha (Intro Mix),,Oded Sabag,
Firast,,SamƒÅdhi,
Back In Love,,CR√àME,
The Shuffle Song,Music,Crookedd,
AyA,,SamƒÅdhi,
Song Bout U Girl,Pop,Mddlchld,
Yellow,Electronic,Iam Alboe,
Corona,Music,Yannis Kr√§mer,
Lost In The Dance,Dance,Jake Cusack,
Dream,Dance,Drone Flesh,
Players,,B.O.M,
War,Music,Ryse Above All,
Passion,Music,Vet,
Antichrist,Electronic,Minor,
Get Lit,,CANDL,
Infinity 2018 - Trillogee Remix,,Sean Finn,
Ride on time feat Alfreda Gerald - Extended Mix,"Electronic,Dance",Mobin Master,
I'm So Excited,"Contemporary R&B,Disco,Pop,Dance",The Pointer Sisters,US
No Money,Electronic,Jacob Tillberg,
Aftergold,"Music,Electronic",Big Wild,
Heartless,Electronic,Jacob Tillberg,
Mama Said,"Pop/Rock,Pop",Lukas Graham,DK
Safe And Sound,"Indie Rock,Pop/Rock,Electronic,Alternative",Capital Cities,US
Forever Mine,Electronic,Lordnox,
Into You,"Pop,Dance",Ariana Grande,US
Kelly,"Rock,Alternative,Music",The Aces,
Trying to Go Back,Fitness & Workout,Edson Faiolli,
it was you,"Music,Alternative",eli.,
Disco Type Beat,R&B/Soul,Billy Marchiafava,
Control - Remix,,Aaron Taos,
Set It Out,"Music,Dance",Alex Martura,
Loved by You,"Music,Electronic",Lordnox,
Homebody,Hip Hop/Rap,Billy Marchiafava,
Where Is the Love,Dance,Alex Martura,
Big,Electronic,Lemaitre,NO
Numb (feat. Johnning),,Prefekt,
For the Weekend,,Zak Downtown,
Naomi Walk,Hip Hop/Rap,Dai Burger,
Shakin,Dance,Alex Martura,
Broken,Dance,Jacob Tillberg,
Control,Alternative,Aaron Taos,
Zoom University,Music,Yung Nugget,
Born This Way,"Electronic,Pop,Dance",Lady Gaga,US
Roses,Electronica,The Chainsmokers,
Let Me Live (feat. Anne-Marie & Mr Eazi),,Rudimental,
Sorry Not Sorry,"Music,Dance",Demi Lovato,US
New House,"Music,Alternative",Rex Orange County,
Movies,Alternative,Circa Waves,GB
Turn,Alternative,The Wombats,US
10-Oct,Music,Rex Orange County,
Fluorescent Adolescent,"Indie Rock,Rock & Roll,Ska,Indie Pop,Alternative",Arctic Monkeys,GB
Cheetah Tongue,Alternative,The Wombats,US
There's A Reason Why (I Never Returned Your Calls),"Music,Alternative",Blossoms,
Times Won‚Äôt Change Me,,Circa Waves,
Sanity,"Alternative,Electronic",Nick Murphy,
Mardy Bum,Indie Rock,Arctic Monkeys,GB
Young Folks,"Pop,Alternative",Peter Bjorn and John,SE
Waterloo Sunset - Mono Mix,Rock,The Kinks,GB
The Outside Looking In,Pop,The Peach Fuzz,
Two Doors Down,Rock,Mystery Jets,GB
Send Me On My Way,"Folk-Rock,Roots Rock,Alternative,Rock",Rusted Root,US
Mighty River,"Music,Alternative",KAWALA,
Narcissist (feat. The 1975),,No Rome,
Goodbye Mr A,Pop,The Hoosiers,GB
Time to Pretend,"Psychedelic,Alternative",MGMT,US
Since I Left You,Pop,The Avalanches,
TOOTIMETOOTIMETOOTIME,"Alternative,Rock",The 1975,GB
Dreaming of You,"Pop,Alternative",The Coral,GB
Dog Days Are Over,"Indie Rock,Indie Pop,Alternative,Rock",Florence + The Machine,GB
Ooh La,Alternative,The Kooks,
Little Lion Man,"Americana,Bluegrass,Alternative Folk,Folk-Rock",Mumford & Sons,
Fill My Little World,Pop,The Feeling,GB
Come On Eileen,"New Wave,Folk-Rock,Soul,Celtic Folk,Pop,Rock",Dexys Midnight Runners,
You Make My Dreams (Come True),"Pop/Rock,Pop",Daryl Hall & John Oates,
Build Me up Buttercup,Soul,The Foundations,GB
The Sound,Alternative,The 1975,GB
Everywhere - 2017 Remaster,,Fleetwood Mac,GB
Overnight,"Music,Alternative",Parcels,
Rockstar,"Music,Alternative",YONAKA,
Starz In Their Eyes - Radio Edit,Rock,Just Jack,GB
Motivation - Recorded at Electric Lady Studios NYC,,MUNA,
Friday I'm In Love,"Pop,Alternative,Rock",The Cure,
Put Your Records On,Contemporary R&B,Corinne Bailey Rae,GB
Hungry Child - Edit,Electronic,Hot Chip,GB
We Got U,"Music,Electronic",Lemaitre,
Sir Duke,"Funk,Soul,Pop,R&B/Soul",Stevie Wonder,US
She's So Lovely,Pop,Scouting For Girls,GB
Shockwave,"Music,Alternative",Liam Gallagher,
Panther,Dance,Opiland,
Leopard,Dance,Opiland,
Lynx,Dance,Opiland,
Cat,Dance,Opiland,
Spirit,Dance,Opiland,
More,Dance,Opiland,
Good,Dance,Opiland,
Pink,Dance,Opiland,
Hunt,Dance,Opiland,
Gas,Dance,Opiland,
Arrive,Electronic,Loomxs,
Loo,Electronic,Loomxs,
Left,Electronic,Loomxs,
Right,Electronic,Loomxs,
Righter,Electronic,Loomxs,
Capt,Electronic,Loomxs,
Lik,Electronic,Loomxs,
Exer,Electronic,Loomxs,
Ether,Electronic,Loomxs,
Erabus,Electronic,Loomxs,
Rainy,,Latitude Air,
