song name,genre,artist name,artist country
I Will Wait,"Bluegrass,Alternative Folk,Folk-Rock",Mumford & Sons,
Little Lion Man,"Americana,Bluegrass,Alternative Folk,Folk-Rock",Mumford & Sons,
The Cave,"Alternative Folk,Folk-Rock",Mumford & Sons,
Girls Like You (feat. Cardi B) - Cardi B Version,,Maroon 5,
Ghosts That We Knew,"Alternative,Rock",Mumford & Sons,
Hold My Girl,Singer/Songwriter,George Ezra,GB
Wake Me Up - Radio Edit,Dance,Avicii,
Uninvited,"Electronic,Hip Hop/Rap",Mallrat,
Without You,Alternative,Oh Wonder,GB
Drive,Alternative,Oh Wonder,GB
Hurt Somebody (With Julia Michaels),,Noah Kahan,
comethru,"Music,Pop",Jeremy Zucker,
This Girl (Kungs Vs. Cookin' On 3 Burners),Electronic,Kungs,
Te Amo (Reprise),,Pritam,
Blowin' in the Wind,,Bob Dylan,US
Wonderwall - Remastered,Alternative,Oasis,GB
Jeet,"Music,Pop",Ritviz,
Aaftaab,"Indian Pop,Indie Rock",The Local Train,
Jennifer,Alternative,The Derelicts,
Udd Gaye - Bacardi House Party Sessions,"Indian Pop,Music",Ritviz,
Kaam 25 - Sacred Games,Indian Pop,DIVINE,
"Dil Beparvah - The Dewarists, Season 5",,Ankur Tewari,
Sham,,Amit Trivedi,
Farak,Indian Pop,DIVINE,
Left For Denver,"Singer/Songwriter,Alternative",The Lumineers,US
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",,John Mayer,
"Chaiyya Chaiyya (From ""Dil Se"")",,Sukhwinder Singh,
"Agar Tum Saath Ho (From ""Tamasha"")",,Alka Yagnik,
Naina Da Kya Kasoor,"Bollywood,Indian",Amit Trivedi,
Firefly,Folk-Rock,When Chai Met Toast,
Saibo,,Sachin-Jigar,
Dilnawaz,Indie Rock,The Local Train,
Aafat Waapas,Rap,Naezy,
Kyon,,Pritam,
Sooraj Ki Baahon Mein,,Dominique Cerejo,
Sage,Music,Ritviz,
Teri Ay,Alternative,Umer Farooq,
Safarnama,,Lucky Ali,IN
Run Closer,Folk-Rock,When Chai Met Toast,
"I Love You Baby, I Love You Doll","Pop,Alternative",Parekh & Singh,
Samjhawan,,Jawad Ahmad,
Dil Chahta Hai,,Shankar Mahadevan,IN
Believe,,When Chai Met Toast,
'Hop Stomp',Folk-Rock,When Chai Met Toast,
Ambarsariya,,Sona Mohapatra,IN
Bawra,,NAALAYAK,
Jeet 2.0,"Music,Pop",Ritviz,
Color White,Indian,Parvaaz,
Beparwah,,Parvaaz,
Ghost,"Alternative,Pop",Parekh & Singh,
Mann Basiya,Pop,Dehlvees,
Nikamma,"Music,Dance",Lifafa,
Patang,Alternative,Umer Farooq,
Jaago,"Music,Dance",Lifafa,
Candy,,Lifafa,
MIDDLE CHILD,"Rap,Hip Hop/Rap",J. Cole,US
whoa (mind in awe),"Alternative Rap,Pop",XXXTENTACION,
Wish You Were Here,"Music,Rock",Pink Floyd,GB
Raat Raazi,"Indian Pop,Singer/Songwriter",Prateek Kuhad,
"Kidre Jaawan (From ""Haraamkhor"")",Pop,Jasleen Royal,
Baarishein,Singer/Songwriter,Anuv Jain,
Kashmir,Indian,The Yellow Diary,
ocean eyes,"Electronic,Pop,R&B/Soul,Alternative,Rock,Indie Pop",Billie Eilish,
Missin You Crazy,"Music,Hip Hop/Rap",Russ,
Ride Slow,Hip Hop/Rap,Russ,
talk is overrated,Pop,Jeremy Zucker,
Ain't Nobody Takin My Baby,Hip Hop/Rap,Russ,
all the kids are depressed,"Alternative,Pop,Music",Jeremy Zucker,
better off,Music,Jeremy Zucker,
The Flute Song,"Music,Hip Hop/Rap",Russ,
16-Sep,"Music,Hip Hop/Rap",Russ,
Weak,"Electronic,Pop,Alternative,Rock,Indie Rock,Indie Pop",AJR,
i'm so tired...,Music,Lauv,
Long Nights,"Pop,Rock",Eddie Vedder,US
Dil Mere,Rock,The Local Train,
Phir Se Ud Chala,,Mohit Chauhan,IN
SANTA MONICA,Hip Hop/Rap,Aries,
Aajao,,Ankur Tewari,
Acquainted,Music,The Weeknd,CA
Vicodin,"Rap,Music,Hip Hop/Rap",NAV,
a lot,"Rap,Hip Hop/Rap",21 Savage,
comethru,"Music,Pop",Jeremy Zucker,
Let It Go,Singer/Songwriter,James Bay,GB
"Handel: Alcina, HWV 34, Act 2: ""Ah! mio cor!"" (Alcina)",,George Frideric Handel,GB
"Ariodante HWV 33 / Act 2: ""E vivo ancora?...Scherza infida in grembo al drudo""",,George Frideric Handel,
"Rodelinda - Rodelinda: Atto Secondo: No. 19 Aria e Recitativo: ""Con rauco mormorio - Dell'estinto germano""",,George Frideric Handel,
"Handel: L'Allegro, il Penseroso ed il Moderato, HWV 55, Part 3: ""As steals the morn upon the night""",,George Frideric Handel,
"Handel: Rinaldo, HWV 7, Act 1: ""Cara sposa"" (Rinaldo)",,George Frideric Handel,
"Amadigi di Gaula: Acte II, Scène 5, Dardano: Pena tiranna",,George Frideric Handel,GB
"Aci, Galatea e Polifemo, Cantata: Aria: Fra l'ombre e gl'orrori (Polifemo)",,George Frideric Handel,
"Handel: Rinaldo, HWV 7, Act 2: ""Lascia ch'io pianga"" (Almirena)",,George Frideric Handel,
"Giulio Cesare in Egitto, HWV 17, Act II: ""V'adoro, pupille""",,George Frideric Handel,
"Rodelinda, HWV 34 / Act 1: ""Pompe vane de morte!...Dove sei, amato bene?""",,George Frideric Handel,
"Giulio Cesare in Egitto, HWV 17: ""Che senti? O Dio! 'Se pietà di me non sento""",,George Frideric Handel,
"Handel: Saul, HWV 53, Act 1: ""O Lord, whose mercies numberless"" (David)",,George Frideric Handel,
Bajazet (Tamerlano) - Sposa con disprezzata,,Antonio Vivaldi,
"Tolomeo, re d'Egitto (1728): Aria Stille amare (III, 6)",,George Frideric Handel,
"Handel: Alcina, HWV 34, Act 3: ""Mi restano le lagrime"" (Alcina)",,George Frideric Handel,
"Atalanta, HWV 35, Act I: Arioso. Care selve, ombre beate",,George Frideric Handel,
"Vivaldi: Giustino, RV 717: ""Vedrò con mio diletto"" (Anastasio)",,Antonio Vivaldi,
"Polifemo, Act III. Scene V: alto giove",,Nicola Porpora,IT
"Giustino: Act 3. Aria: Zeffiretto, che scorre nel prato",,George Frideric Handel,
"Handel: Alcina, HWV 34, Act 2: ""Verdi prati, selve amene"" (Ruggiero)",,George Frideric Handel,
Merope - Act III: Sposa... non mi conosci,,Geminiano Giacomelli,
Rodelinda / Act 2: Io t'abbraccio,,George Frideric Handel,
"Alcina, HWV 34: Mi lusinga il dolce affetto",,George Frideric Handel,GB
"Jephtha, HWV 70: Waft her, angels",,George Frideric Handel,GB
"Les indes galantes / Act 2: ""Soleil, on a détruit tes superbes ailes""",,Jean-Philippe Rameau,
"Adriano in Siria: ""Lieto così talvolta""",,Giovanni Battista Pergolesi,
La Festa d’Imeneo: Vaghi amori,,Nicola Porpora,IT
"Castor et Pollux: Acte I, scène 3 - Air de Télaïre: Tristes apprêts",,Jean-Philippe Rameau,
"Idaspe: ""Ombra fedele anch'io""",,Riccardo Broschi,IT
"Handel : Serse : Act 1 ""Frondi tenere e belle... Ombra mai fù di vegetabile"" [Serse]",,George Frideric Handel,
"Admeto, Rè di Tessaglia: Aria ""Chiudetevi, miei lumi"" (I, 1)",,George Frideric Handel,
"Siroe, re di Persia, HWV 24: Deggio morire, o stelle",,George Frideric Handel,
"Handel: Agrippina, HWV 6, Act 2: ""Vaghe fonti"" (Ottone)",,George Frideric Handel,
"Agrippina, HWV 6: Recitative & Aria: “Otton, qual portentoso fulmine”...“Voi che udite il mio lamento” (Ottone)",,George Frideric Handel,GB
Dido and Aeneas / Act 3: But death...When I am laid...With drooping wings...,,Henry Purcell,
Demiurge,Heavy Metal,Meshuggah,SE
Dead in the Dirt,"Heavy Metal,Rock",Fit For An Autopsy,US
(sic),Heavy Metal,Slipknot,US
Pulse of the Maggots,Heavy Metal,Slipknot,US
The Grotesque,"Alternative,Rock",Johnny Truant,GB
This Is Fire,"Death Metal/Black Metal,Heavy Metal",Dyscarnate,GB
Iron Moon,Heavy Metal,Fit For An Autopsy,US
ObZen,"Death Metal/Black Metal,Heavy Metal",Meshuggah,SE
Violent Sleep of Reason,Death Metal/Black Metal,Meshuggah,SE
Marrow,Heavy Metal,Meshuggah,SE
L'enfant sauvage,Heavy Metal,Gojira,FR
Lower the Blade,Rock,Car Bomb,US
The New Face of Revenge,"Heavy Metal,Rock",The Arusha Accord,
