song name,genre,artist name,artist country,lyrics snippet
Mess Is Mine,"Alternative Folk,Indie Pop,Alternative",Vance Joy,AU,"Talking like we used to do
It was always me and you
Shaken up and shipping out
Check me in and check me out

Do you like walking in the rain
When you think of love, do you think of pain
You can tell me what you see
I will choose what I believe

Hold on, darling
This body is yours, this body is yours and mine
Hold on my darling
This mess was yours, now your mess is mine
...

******* This Lyrics is NOT for Commercial use *******"
Silver Lining,Alternative,Mt. Joy,,"Up on the mountain
Caught on the rail line
Up on the mountain
Caught on the rail line

My brother, let the heart just beat
Drink your wine, smoke your weed
My brother, let the heart still beat

And wear your silver lining
Wear it close to your skin

But if it's the drugs, the women, the wine, the weed
The love that took everything I own
Just take it oh oh oh
And tell the ones you love you love them
...

******* This Lyrics is NOT for Commercial use *******"
Carried Me With You,,Brandi Carlile,US,"You're the soul who understands
The scars that made me who I am
Through the drifting sands of time
I got your back and you got mine

If you bear a heavy load
I'll be your wheels, I'll be the road
I'll see us through the thick and thin
For love and loss until the end

'Cause you carried me with you
From the highest of the peaks
To the darkness of the blue
I was just too blind to see
Like a lighthouse in a storm
You were always guiding me
Yeah, it's true
You carried me with you

...

******* This Lyrics is NOT for Commercial use *******"
Dirty Paws,Music,Of Monsters and Men,IS,"Jumping up and down the floor
My head is an animal
And once there was an animal
It had a son that mowed the lawn

The son was an OK guy
They had a pet dragonfly
The dragonfly it ran away
But it came back with a story to say

Her dirty paws and furry coat
She ran down the forest slope
The forest of talking trees
They used to sing about the birds and the bees

...

******* This Lyrics is NOT for Commercial use *******"
By and By,"Americana,Alternative",Caamp,,
I Need Never Get Old,Rock,Nathaniel Rateliff & The Night Sweats,,"Can we be there
Oh, just think of the time
Thought of love so strange
Said you never knew
While I try my best
To cover our eyes
It's a common way to blame and hide the truth

I know that some will say, it matters but little babe
Ah but come on and mean it to me
I need it so bad

I needed to try
Needed to fall
I needed your love, I'm burning away
...

******* This Lyrics is NOT for Commercial use *******"
Olalla,"Folk,Contemporary Singer/Songwriter",Blanco White,,"Oh Olalla, more than a name
Rest your eyes and stay in the shade
You are hiding over the hill
In a quiet never so still

From Olalla to the city lights
Somebody told me to believe in better times
From Olalla to the city lights
Somebody told me to believe
To believe

...

******* This Lyrics is NOT for Commercial use *******"
1957,Alternative,Milo Greene,US,"Your house that sits behind me
Is covered in ivy green

The windows that we watch from
Are old and chipping at the beam

It takes me away
It takes me away
Takes me away

It takes me away
It takes me away
Takes me away

The scent you wear moves in lines
From your apartment into mine
...

******* This Lyrics is NOT for Commercial use *******"
Sedona,"Indie Rock,Alternative",Houndmouth,US,"The red sandstorm it fell
Right smack on top
Of Sedona Arabelle
When John Ford said, won't you hop on in, in a stagecoach, baby
Gonna take you for a spin, oh-woah
Woah-woah

Well hey, Little Hollywood
You're gone, but you're not forgot
You got the cash, but your credit's no good
You flipped the script, and you shot the plot
And I remember, I remember when your neon used to burn so bright and pink
A Saturday night kind of pink
...

******* This Lyrics is NOT for Commercial use *******"
Little Road,"Alternative Folk,Singer/Songwriter",Devarrow,,"Coming down
The little road
Going to go out
In the snow

Put the horse
Before the cart
Going to go out
In the dark

Holy moly
Me oh my
You're the apple
Of my eye

Cross the hill
To Johnson Straight
Goin to be back
Before midday

Boom, boom, boom
Went the shadow in the night
Boom, boom, boom
Went the shadow in my only head

Boom, boom, boom
Went the shadow in the night
...

******* This Lyrics is NOT for Commercial use *******"
